Metric,Without Sentiment,With Sentiment,Random Walk Benchmark
MSE,0.0008281321678551553,0.0008280853924427796,0.0017038030348213828
RMSE,0.02877728562347664,0.02877647289788621,0.04127714906363305
MAE,0.020864360928151526,0.020863977021720485,0.031458377228473965
MAPE (%),106.98606057899771,107.51044412027034,1566.4526901388172
R-squared (%),-0.16264203088032225,-0.15698454157184738,-106.07509295278402
